DBenitez,PDiaz,FMartinez,AMelgar,JMizher,SMolina,SOlivaria,ERuiz,LIpina,NBenitez,DEsparza,TTaylor,TAdams,EMartinez,JIbarra,VMacedo
orange chicken and white rice ,chicken,Sometimes,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,Yes,fast food,Some,HAPPY,Starbucks,speeding,Yes,Yes,Vending machine,Yes,Yes,Hang out with friends
2 double doubles from in n out,hamburger,Sometimes,The First Plot Twist: Let’s be real—I’m probably the one who didn’t notice what was happening because my noise-canceling headphones were on.,Yes,home cooked meals,Alot,SAD,Dutch bros,steal,Yes,Yes,Vending machine,No,Sometimes,Watch TV/movies
lasagna,italian,Sometimes,The Distraction: I’m grabbing the megaphone and blast-playing a viral song to lure the zombies toward the gym while everyone else runs.,Yes,fast food,Some,HAPPY,Dutch bros,steal,Yes,No,Vending machine,Yes,Sometimes,Hang out with friends
a steak ,steak,Sometimes,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,No,home cooked meals,Some,HAPPY,Starbucks,stole something,No,No,Video game table,No,No,Play video games
mc donalds,mcdonalds,Frequently,The First Plot Twist: Let’s be real—I’m probably the one who didn’t notice what was happening because my noise-canceling headphones were on.,No,fast food,Alot,SAD,Starbucks,i stole a car,Yes,Yes,Uno table,No,Sometimes,Play sports
chipotle,chipotle,Sometimes,The Distraction: I’m grabbing the megaphone and blast-playing a viral song to lure the zombies toward the gym while everyone else runs.,No,home cooked meals,Some,HAPPY,Dutch bros,drugs,Yes,No,Uno table,No,No,Sleep
canes ,canes ,Never,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,Yes,home cooked meals,Some,HAPPY,Dutch bros,speeding,Yes,No,Vending machine,Yes,Sometimes,Hang out with friends
quesadillas,quesadillas,Frequently,The Tactician: I’m already barricading the doors with rolling trash cans and mapping out an escape through the vents.,No,fast food,None,HAPPY,Starbucks,dui,No,Yes,Vending machine,Yes,Yes,Hang out with friends
bacon cheeseburger ,hamburger,Sometimes,The Distraction: I’m grabbing the megaphone and blast-playing a viral song to lure the zombies toward the gym while everyone else runs.,Yes,fast food,Alot,HAPPY,Dutch bros,DUI,Yes,Yes,Vending machine,Yes,No,Hang out with friends
cicis alfredo pizza and canes,pizza,Sometimes,The Tactician: I’m already barricading the doors with rolling trash cans and mapping out an escape through the vents.,Yes,home cooked meals,Some,HAPPY,Starbucks,speeding,Yes,Yes,Uno table,Yes,No,Play sports
a number 2 from whataburger,whataburger,Sometimes,The Tactician: I’m already barricading the doors with rolling trash cans and mapping out an escape through the vents.,Yes,home cooked meals,Alot,HAPPY,Dutch bros,Steal,Yes,Yes,Video game table,No,No,Hang out with friends
A turkey with mash potatoes and some sprite,turkey,Sometimes,The First Plot Twist: Let’s be real—I’m probably the one who didn’t notice what was happening because my noise-canceling headphones were on.,Yes,home cooked meals,Alot,HAPPY,Dutch bros,rob a dude,No,Yes,Vending machine,Yes,Sometimes,Play sports
ny steak with lobster and a lava cake coke,steak,Frequently,The Distraction: I’m grabbing the megaphone and blast-playing a viral song to lure the zombies toward the gym while everyone else runs.,No,fast food,None,HAPPY,Dutch bros,steal from the store,Yes,No,Video game table,No,Yes,Play sports
steak dinner with mashed potatoes,steak,Sometimes,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,Yes,home cooked meals,Alot,HAPPY,Dutch bros,stealing something,Yes,Yes,Vending machine,Yes,Yes,Play sports
churchs chicken,churchs,Sometimes,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,Yes,home cooked meals,Some,SAD,Starbucks,Disturbing the peace,Yes,No,Video game table,Yes,Yes,Hang out with friends
happy meal,mcdoanlds,Never,The First Plot Twist: Let’s be real—I’m probably the one who didn’t notice what was happening because my noise-canceling headphones were on.,Yes,fast food,Alot,SAD,Starbucks,littering,No,No,Video game table,Yes,Sometimes,Hang out with friends
dave's hot chicken with dr pepper,chicken,Frequently,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,Yes,fast food,Alot,SAD,Dutch bros,fighting,No,No,Video game table,Yes,Yes,Hang out with friends
in n out,in n out,Sometimes,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,No,home cooked meals,None,HAPPY,Starbucks,rob someone,Yes,No,Uno table,Yes,Sometimes,Hang out with friends
stake n mashed potatoes,steak,Never,The Tactician: I’m already barricading the doors with rolling trash cans and mapping out an escape through the vents.,Yes,fast food,Alot,HAPPY,Dutch bros,dui,Yes,No,Video game table,Yes,Yes,Play sports
Chicken Tenders,chicken,Sometimes,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,No,fast food,Some,HAPPY,Dutch bros,speeding,No,Yes,,No,No,Hang out with friends
"chicken, meat, monster, pizza",pizza,Never,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,No,fast food,Some,HAPPY,Starbucks,dUI,Yes,Yes,,No,Yes,Play sports
dog,dog,Sometimes,The Distraction: I’m grabbing the megaphone and blast-playing a viral song to lure the zombies toward the gym while everyone else runs.,No,home cooked meals,Some,HAPPY,Starbucks, sppeding ,No,No,,Yes,Sometimes,Sleep
my tias spaghetti and lasagna ,spaghetti,Frequently,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,Yes,home cooked meals,Some,SAD,Starbucks,fighting,No,Yes,,Yes,Sometimes,Sleep
a torta,torta,Never,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,Yes,fast food,Maybe One,HAPPY,Starbucks,robbery,Yes,No,,Yes,Yes,Play sports
pizza,pizza,Frequently,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,Yes,fast food,Alot,,,DUI,Yes,Yes,,Yes,Sometimes,Play sports
,,,,,,,,,,No,Yes,,,,
,,,,,,,,,,Yes,No,,,,
,,,,,,,,,,Yes,No,,,,
,,,,,,,,,,No,Yes,,,,
,,,,,,,,,,,Yes,,,,
,,,,,,,,,,No,Yes,,,,
,,,,,,,,,,No,Yes,,,,
,,,,,,,,,,Yes,Yes,,,,
,,,,,,,,,,Yes,,,,,
