Respondent ID,First Name,Last Name,Age,Gender,Region of Birth,Favorite Food Type,Car Preference,Political Leaning
R001,Mary,Mitchell,53,Female,Southwest,Greek,Foreign,Liberal
R002,Kimberly,Garcia,93,Female,Mountain West,Mexican,Foreign,Liberal
R003,Mary,Scott,43,Female,Deep South,Southern/Soul Food,Foreign,Conservative
R004,Mary,Carter,38,Female,Mountain West,Korean,Foreign,Liberal
R005,Linda,Garcia,66,Female,Southeast,Vietnamese,No Preference,Conservative
R006,Melissa,Robinson,86,Female,Southeast,Middle Eastern,Foreign,Liberal
R007,Laura,White,91,Female,Southwest,Japanese,Foreign,Liberal
R008,Robert,Anderson,30,Male,Mountain West,French,Domestic,Centrist
R009,Daniel,Wilson,52,Male,Southeast,Ethiopian,Domestic,Conservative
R010,Mark,Harris,52,Male,Deep South,Greek,Domestic,Centrist
R011,Jessica,Williams,58,Female,Mountain West,French,Foreign,Centrist
R012,Amanda,Lee,45,Female,Pacific Northwest,Middle Eastern,No Preference,Conservative
R013,William,Thomas,89,Male,Deep South,French,Domestic,Conservative
R014,Nancy,Anderson,35,Female,Deep South,Seafood,Foreign,Liberal
R015,Kenneth,Hernandez,72,Male,New England,Japanese,Domestic,Conservative
R016,Thomas,Scott,19,Male,Southeast,Pizza,Domestic,Centrist
R017,Charles,Ramirez,38,Male,Pacific Northwest,Italian,No Preference,Centrist
R018,Steven,Carter,40,Male,Deep South,Chinese,No Preference,Liberal
R019,Donna,Gonzalez,37,Female,Mid-Atlantic,Indian,Domestic,Centrist
R020,Mary,Hill,59,Female,Pacific Northwest,Italian,Foreign,Conservative
R021,Casey,Thomas,25,Non-binary,Southwest,Sushi,No Preference,Liberal
R022,Jennifer,Carter,86,Female,Midwest,American BBQ,Domestic,Centrist
R023,Steven,Hill,72,Male,Southwest,Pizza,Domestic,Centrist
R024,Betty,Nelson,65,Female,Pacific Northwest,Steakhouse,Domestic,Liberal
R025,James,Nguyen,88,Male,Southwest,Sushi,Foreign,Liberal
R026,Jessica,Jones,22,Female,Mid-Atlantic,Japanese,Domestic,Liberal
R027,Kimberly,Rodriguez,91,Female,New England,Seafood,Foreign,Conservative
R028,Michael,Miller,73,Male,Mid-Atlantic,Southern/Soul Food,Domestic,Centrist
R029,Kenneth,Adams,30,Male,Northeast,Middle Eastern,Domestic,Centrist
R030,Richard,Gonzalez,86,Male,Pacific Northwest,American BBQ,Domestic,Liberal
R031,Ryan,Jones,74,Male,Deep South,Chinese,Foreign,Centrist
R032,Jennifer,Carter,48,Female,Midwest,Southern/Soul Food,Domestic,Liberal
R033,John,Hernandez,66,Male,Northeast,Middle Eastern,Foreign,Centrist
R034,Anthony,Hall,89,Male,Pacific Northwest,American BBQ,Foreign,Liberal
R035,George,Wright,25,Male,Mid-Atlantic,Mexican,Foreign,Conservative
R036,Dorothy,Hernandez,25,Female,Deep South,Japanese,No Preference,Liberal
R037,Jason,Thomas,69,Male,Southeast,Sushi,Foreign,Conservative
R038,Margaret,Nelson,92,Female,New England,Steakhouse,Foreign,Liberal
R039,Lisa,Thomas,51,Female,Mountain West,American BBQ,Domestic,Liberal
